outcome,variable,est,lower,upper
Adolescent-Peaked ASB,Peer Indirect Effect,1.250,0.900,131137.281
Adolescent-Peaked ASB,School Indirect Effect,1.043,0.692,2.974
Adolescent-Peaked ASB,Neighborhood Indirect Effect,1.004,0.693,2.705
Adolescent-Peaked ASB,PGS Direct Effect,0.856,0.000,17822994.368
Adolescent-Peaked ASB,PGS x Parent,1.019,0.000,289596751.148
Adolescent-Peaked ASB,PGS x Peer,0.911,0.000,5491.738
Adolescent-Peaked ASB,PGS x School,0.579,0.000,3.089
Adolescent-Peaked ASB,PGS x Neighborhood,2.255,0.205,2704667229116.513
Adolescent-Peaked ASB,Age,0.369*,0.000,0.612
Adolescent-Peaked ASB,Female Sex,0.324,0.000,10.935
Adolescent-Peaked ASB,Family Income,1.728,0.000,609408882.365
Adolescent-Peaked ASB,Parental Education,1.483,0.000,36827.495
Adolescent-Peaked ASB,Single Parent,1.066,0.000,22081367713.874
Adolescent-Peaked ASB,White,0.000,0.000,7001898826730552253640860242484680646264.000
Adolescent-Peaked ASB,Native,2924.854,0.036,1055462314852.945
Adolescent-Peaked ASB,Asian,61.498,0.000,88034973622.533
Adolescent-Peaked ASB,Other Race,0.000,0.000,954534326273206912.000
Adolescent-Peaked ASB,Hispanic,0.000*,0.000,0.001
Adolescent-Peaked ASB,PGS x Age,0.947,0.000,4.315
Adolescent-Peaked ASB,PGS x Sex,1.350,0.000,234273548.208
Adolescent-Peaked ASB,PGS x Income,0.635,0.000,54406816.104
Adolescent-Peaked ASB,PGS x Parental Education,0.550,0.000,13.079
Adolescent-Peaked ASB,PGS x Single Parent,6.341,0.138,300646949839680513302646844608862024626.000
Adolescent-Peaked ASB,High SUB,0.215,0.000,1.831
Adolescent-Peaked ASB,Low SUB,0.296,0.000,19.511
