     3.000      0.000     -0.950     -0.998     -0.425      0.330     -0.666      1.910     -0.500      0.826     -0.465      0.632      0.665      0.283     -0.220     -1.272      0.333     -0.550      0.310      0.333      0.000      0.000      0.000      1.000      1.000     -0.500      1.000      0.000      0.000      0.000      0.000 90574125
     3.000      1.000      0.043     -0.273     -1.905     -1.929      0.260     -3.006      0.500          *     -2.965      0.011     -0.071     -0.494     -0.501     -0.780      0.130          *     -0.770     -0.130          *          *          *          *      1.000     -0.500      0.000      1.000      0.000      0.000      0.000 92713402
     3.000      1.000     -0.143     -0.715     -0.918     -0.496     -0.134      2.494      0.500          *     -1.965      0.019      0.096      0.123      0.067     -0.334     -0.067          *      0.263      0.067      0.000      0.000      0.000      1.000      1.000     -0.500      0.000      1.000      0.000      0.000      0.000 93570571
     1.000      2.000     -1.308      0.772     -0.425      0.551     -1.321     -2.090     -0.500      0.070      0.535      1.728     -1.020      0.561     -0.728      2.760      0.661     -0.093     -0.706      0.661      0.000      0.000      0.000      1.000      1.000     -0.500      0.000      0.000      0.000      1.000      0.000 91588965
     3.000      0.000      0.080      1.293      0.776      1.068     -0.391     -0.423     -0.500          *     -1.965     -0.031     -0.506     -0.304     -0.418      0.165      0.196          *      0.769     -0.196      0.000      0.000      0.000      1.000      1.000      0.500      1.000      0.000      0.000      0.000      0.000 95886993
     3.000      2.000      0.016      0.212      0.527      1.289     -0.778     -0.923      0.500          *      2.535     -0.012     -0.165     -0.410     -1.003      0.718     -0.389          *     -1.971      0.389      1.000      0.000      0.000      0.000      1.000     -0.500      0.000      0.000      0.000      0.000      0.000 96619869
     3.000      2.000      0.537      1.700      0.511      0.809     -1.852      1.910     -0.500      0.465      0.035     -0.995     -3.149     -0.947     -1.499     -3.539      0.926     -0.861     -0.064      0.926      0.000      0.000      1.000      1.000      1.000     -0.500      0.000      0.000      0.000      0.000      0.000 91576498
     2.000      0.000          *      0.828      0.015     -2.572      0.540      0.577      0.500     -0.106          *          *      0.448      0.008     -1.390      0.312      0.270     -0.057          *     -0.270      0.000      0.000      0.000      1.000      1.000     -0.500      1.000      0.000      0.000      0.000      1.000 95503304
     3.000      2.000      0.740     -0.686      1.477      1.289      0.795     -3.590      0.500      2.693     -0.965      0.588     -0.545      1.173      1.024     -2.852      0.397      2.140     -0.767      0.397      1.000      0.000      0.000      0.000      1.000      0.500      0.000      0.000      0.000      0.000      0.000 20540757
     3.000      2.000      1.134     -0.051     -0.207      0.551      0.853     -1.006      0.500          *      1.035      0.967     -0.043     -0.177      0.470     -0.858      0.426          *      0.882      0.426      0.000      0.000      0.000      1.000      1.000      0.500      0.000      0.000      0.000      0.000      0.000 92676028
     3.000      2.000      0.440     -0.998     -0.671      1.068     -1.632      0.244      0.500      1.472      1.535     -0.719      1.629      1.095     -1.743     -0.398     -0.816     -2.403     -2.504      0.816      1.000      0.000      0.000      0.000      0.000     -0.500      0.000      0.000      0.000      0.000      0.000 96506235
     3.000      2.000      0.514      0.388      0.034      0.006     -0.137     -0.923     -0.500     -0.879     -1.965     -0.070     -0.053     -0.005     -0.001      0.126      0.068      0.120      0.269     -0.068      0.000      0.000      0.000      1.000      1.000      0.500      0.000      0.000      0.000      0.000      0.000 98500752
     1.000      0.000      1.025     -0.998      1.500      0.037     -0.085     -1.423     -0.500     -0.145     -1.965     -0.088      0.085     -0.128     -0.003      0.121      0.043      0.012      0.168      0.043      0.000      0.000      0.000      1.000      1.000     -0.500      1.000      0.000      0.000      1.000      0.000 90576327
     3.000      2.000     -1.016      0.565          *      1.289     -0.348      0.077      0.500     -0.966     -1.965      0.354     -0.197          *     -0.449     -0.027     -0.174      0.337      0.685     -0.174      0.000      0.000      0.000      1.000      1.000      0.500      0.000      0.000      0.000      0.000      0.000 98570618
     3.000      0.000      1.064      1.888     -0.675     -0.529     -1.060      0.160     -0.500     -0.531     -1.465     -1.128     -2.001      0.716      0.560     -0.170      0.530      0.563      1.553      0.530      0.000      0.000      0.000      1.000      1.000     -0.500      1.000      0.000      0.000      0.000      0.000 98576293
     1.000      2.000     -3.280      0.183     -0.667      0.330     -0.897      0.994      0.500          *     -0.965      2.940     -0.164      0.598     -0.296     -0.891     -0.448          *      0.866     -0.448      1.000      0.000      0.000      0.000      0.000      0.500      0.000      0.000      0.000      1.000      0.000 94676257
     3.000      1.000     -0.164     -0.998     -0.950     -2.093     -1.103      2.077      0.500          *     -1.465      0.181      1.101      1.048      2.308     -2.291     -0.551          *      1.616      0.551      0.000      0.000      0.000      1.000      1.000     -0.500      0.000      1.000      0.000      0.000      0.000 95506293
     3.000      0.000      1.202     -0.374     -1.385      1.030      0.225     -0.340     -0.500      1.090      0.035      0.271     -0.084     -0.312      0.232     -0.077     -0.113      0.246      0.008      0.113      0.000      0.000      0.000      1.000      1.000      0.500      1.000      0.000      0.000      0.000      0.000 91584987
     3.000      0.000     -1.875     -0.993      0.271      1.030     -0.342      1.077     -0.500     -0.068     -1.965      0.642      0.340     -0.093     -0.353     -0.369      0.171      0.023      0.673      0.171      0.000      0.000      0.000      1.000      1.000     -0.500      1.000      0.000      0.000      0.000      0.000 98573305
     3.000      1.000      1.134      1.452      0.999     -0.529      0.117      2.660      0.500      0.350      2.035      0.132      0.169      0.117     -0.062      0.310      0.058      0.041      0.237      0.058      1.000      0.000      0.000      0.000      0.000      0.500      0.000      1.000      0.000      0.000      0.000 99571505
     3.000      2.000      0.117     -0.998      0.526      0.462      1.041     -1.173      0.500      0.643      1.035      0.122     -1.039      0.547      0.481     -1.221      0.520      0.670      1.077     -0.520      0.000      0.000      0.000      1.000      1.000     -0.500      0.000      0.000      0.000      0.000      0.000 93315182
     2.000      2.000     -0.293     -0.458     -0.879     -1.229      0.631     -3.340      0.500          *      1.035     -0.185     -0.289     -0.554     -0.775     -2.106      0.315          *      0.652     -0.315      0.000      1.000      0.000      0.000      1.000     -0.500      0.000      0.000      0.000      0.000      1.000 91886937
     1.000      0.000     -0.537      1.619      0.289      1.030     -0.891     -1.173     -0.500     -1.754          *      0.478     -1.442     -0.258     -0.918      1.044      0.445      1.562          *     -0.445      0.000      0.000      0.000      1.000      1.000      0.500      1.000      0.000      0.000      1.000      0.000 17196641
