    -1.093      0.250      0.686      0.939      0.479      2.733      0.500     -0.268     -1.242     -0.500 95578941
    -1.052      1.947     -0.968      0.939     -1.004      0.233     -0.500      0.642      0.758     -0.500 91575067
    -1.273      0.948      0.430      1.185      0.504      0.400     -0.500     -0.091     -1.242     -0.500 94504182
    -0.421     -0.443      0.664      0.244     -1.712     -0.184      0.500      0.741     -0.242     -0.500 93579971
     0.432      1.260     -2.072     -2.245      0.364      0.316      0.500     -0.118     -0.742     -0.500 97578343
     0.445     -1.019     -1.393     -2.097     -1.201     -1.017      0.500     -1.505      0.258      0.500 91886952
    -0.289     -0.051      0.222      0.366     -0.591      0.816      0.500     -1.756     -0.742      0.500 90575250
    -0.200     -0.363      0.430      0.252     -1.573     -0.684      0.500      0.629      0.258     -0.500 98578142
     0.491      0.767     -1.376     -1.671     -0.120     -0.267     -0.500      0.642     -0.242     -0.500 91578842
     0.802     -0.717      0.646      1.185     -2.345      0.400      0.500     -0.205      1.258     -0.500 94572667
     0.222     -1.019     -0.492      0.694     -1.599      0.483      0.500      0.324      1.258     -0.500 95570379
     1.035     -1.019      0.903      0.407      0.077     -0.184      0.500     -0.657     -0.742     -0.500 90578399
    -0.401     -1.019      0.192      0.244     -0.251     -2.184     -0.500      0.105     -0.742     -0.500 99712295
    -0.028     -1.019      0.192     -1.443      2.112      0.066      0.500     -1.137      0.258      0.500 92572562
     0.516     -0.984     -0.510      0.939      0.571     -2.517      0.500      0.012     -0.242     -0.500 94718998
    -0.088     -1.019     -2.542     -1.712     -1.005     -2.684      0.500     -0.566     -1.242     -0.500 91570326
    -0.530      1.947     -0.511      1.185      0.591      1.650     -0.500      0.561     -0.742     -0.500 91585965
     1.149      0.927      0.661      0.223      1.351     -0.267      0.500      1.380      0.758     -0.500 91885978
     0.528     -1.019     -0.496      0.223     -1.153     -0.017      0.500      0.488      0.258     -0.500 90506933
     0.705     -0.353     -2.342     -0.964     -1.300      0.983     -0.500      1.315      1.258     -0.500 99578911
     0.161     -0.416      0.642      0.653     -1.174      1.816      0.500     -0.811     -0.742      0.500 97573943
    -0.273     -0.717      0.660     -0.125     -0.694      2.150     -0.500      0.230     -0.242     -0.500 90506480
     0.173      0.160     -1.623      0.898      2.012     -0.850      0.500      0.012     -0.242     -0.500 95576361
    -1.987     -0.083     -1.159     -0.281     -2.468      2.150      0.500      0.409      0.258     -0.500 93574889
     1.149      0.219      1.344      1.185     -0.571      2.150      0.500      0.809      0.758     -0.500 99573937
     0.209     -0.353      0.430      0.468     -0.889      0.566      0.500     -0.370     -0.742      0.500 97572141
     0.096      0.927      0.192      0.898     -1.756     -0.017     -0.500      0.082     -0.742     -0.500 91880992
     0.527     -1.019      0.228     -1.292      0.774     -1.017     -0.500      0.629      1.258     -0.500 91881955
     0.268     -0.089      0.881     -1.180      0.572     -1.017      0.500      0.324      1.258     -0.500 98578545
     0.853     -0.686      0.408      0.694      2.160      0.066      0.500     -0.334     -0.742     -0.500 91589975
    -1.692      1.947     -1.870     -1.610     -0.121      0.816      0.500      0.629      1.258     -0.500 99576019
     0.777          *     -0.258     -0.187     -0.019     -1.600     -0.500     -0.118      0.258     -0.500 95716218
    -2.058      2.523     -1.160      0.120      1.073      0.066      0.500     -0.444     -0.242     -0.500 94570623
    -1.021     -0.020          *      0.366      0.665     -0.600     -0.500     -0.929      1.258      0.500 92572048
     0.241     -1.019      0.668     -0.956     -0.240      1.316     -0.500      0.561      1.258     -0.500 95570570
     0.297      0.546     -0.258      0.898      0.670     -0.517      0.500     -1.910     -1.742      0.500 91578644
    -0.512      0.636      0.425     -1.066      0.010      1.316     -0.500      0.629      0.258     -0.500 92508721
     1.030     -1.019     -0.284     -0.265     -0.347     -1.434     -0.500      0.457      1.258     -0.500 96712909
     0.432      1.697     -1.859     -0.492      1.606     -1.934     -0.500      0.324      0.258     -0.500 91572380
    -0.445     -1.019     -2.374     -1.243     -1.168      0.316     -0.500      0.230      2.258     -0.500 98578725
     0.397      1.042      0.881      1.185      1.434      0.483     -0.500     -1.063     -1.742      0.500 95579276
    -4.052     -1.019          *     -0.002     -0.192     -2.434     -0.500     -1.137      1.258     -0.500 91786915
     0.547      0.937     -0.723     -0.526     -1.466      1.233     -0.500      0.764     -1.242     -0.500 90578741
    -1.317     -0.717     -0.969      0.653     -0.018     -2.934      0.500      0.913      1.258     -0.500 19606425
     0.340      1.614      0.192      0.898     -1.071      0.316      0.500      0.753      0.758     -0.500 94504188
    -0.146     -1.019     -0.213     -1.048      0.892     -0.434      0.500     -0.268      1.258     -0.500 94575247
     0.814     -0.384      1.357     -0.677      1.279      3.400      0.500      1.315      0.258     -0.500 95578444
     1.047      0.573     -0.515     -0.197     -1.537      0.566     -0.500      0.230     -0.742     -0.500 96572200
     1.112     -1.019      0.218      0.162      0.024     -2.017      0.500     -0.444      0.258      0.500 90572268
    -0.144      0.552     -1.418      1.185      1.260      0.233     -0.500      0.693     -0.242     -0.500 98571917
     0.587     -1.019     -1.195     -0.944      0.746     -2.017     -0.500      0.012      1.258     -0.500 13578829
    -1.028      0.594     -0.041     -0.310     -1.496     -0.684     -0.500     -1.304     -0.742      0.500 91578049
    -0.311     -0.384     -1.177     -2.142     -0.348     -1.100      0.500     -1.063     -0.742      0.500 96506286
    -0.148     -0.443      0.170      0.939      1.722     -0.350     -0.500      0.324     -0.742     -0.500 95578747
    -0.258     -1.019     -0.974      0.898     -0.309     -0.267      0.500     -0.611      0.258     -0.500 94571013
    -2.354     -0.114     -0.267      0.939      0.161     -0.850      0.500     -0.524     -0.742      0.500 94573418
    -0.402     -1.019      1.349      0.653     -0.519      1.233     -0.500     -1.910     -1.742     -0.500 93577959
    -0.716     -0.717     -0.263      0.939      1.465     -0.184     -0.500      0.913      1.758     -0.500 91540110
     0.333     -0.051      1.110      0.285      0.320     -2.767      0.500      0.127      0.758     -0.500 91884922
    -0.884      0.219     -0.016      0.939     -0.584      1.400     -0.500     -0.483      0.758     -0.500 94570920
    -0.270      1.042     -0.240     -1.783      2.440     -0.600     -0.500      0.012      0.258     -0.500 92578147
    -0.776     -1.019      0.186      0.181     -1.646      0.316      0.500      0.693     -0.242     -0.500 95576166
    -0.051     -0.686     -2.783     -0.186      1.185     -1.267      0.500     -2.315     -1.742      0.500 94710183
     0.513     -1.019      1.119      0.223      1.736      0.400      0.500     -0.118      1.258     -0.500 98572995
    -0.314     -1.019     -1.393     -2.245     -0.989     -0.850     -0.500     -0.444     -0.742      0.500 93572005
     0.425      0.826      0.656     -0.526     -0.888     -0.517     -0.500      0.668     -1.242     -0.500 96506084
     0.675     -0.686      0.218     -0.935     -1.620     -0.517     -0.500     -0.268     -0.242     -0.500 93500927
    -0.968     -1.019      0.633     -1.652     -1.541     -2.434      0.500     -1.137      0.258      0.500 99717912
     1.030      0.303      1.119      0.939      1.079     -0.017      0.500      0.693     -0.742     -0.500 91576778
     0.781     -1.019          *      0.653     -0.467      2.066      0.500      0.409      1.258     -0.500 90573955
     0.496     -0.051     -1.865     -0.289     -1.340     -0.350     -0.500     -0.657     -0.742     -0.500 94575159
    -0.521      1.344     -0.506     -1.607      0.667      0.900     -0.500     -1.399      1.258     -0.500 99504649
    -0.372     -0.717     -0.272      0.531      0.916     -0.184     -0.500      0.589      0.258     -0.500 98578242
